Flex1,Flex2,Flex3,Flex4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z
0,299,289,269,-2832,-1904,14396,34,124,-287
0,299,289,274,-2772,-1904,14328,34,156,-270
0,298,289,275,-2780,-2012,14388,46,165,-273
0,299,289,276,-2936,-1948,14264,50,134,-276
0,299,289,277,-2768,-1916,14252,-27,163,-299
0,299,289,277,-2792,-1936,14356,66,225,-272
0,299,289,277,-2792,-1812,14468,-7,196,-278
0,297,289,277,-2864,-1928,14208,15,83,-289
0,299,288,277,-2740,-1992,14360,-35,186,-273
0,299,289,278,-2820,-1920,14172,-55,169,-277
0,299,289,277,-2848,-1940,14228,74,166,-269
0,298,289,277,-2792,-2024,14252,-21,80,-289
0,298,288,278,-2832,-1936,14216,13,95,-275
0,299,289,278,-2788,-1936,14324,-134,5,-326
0,299,289,278,-2740,-1992,14360,-13,164,-287
0,298,289,277,-2876,-1812,14380,-77,35,-311
0,299,289,278,-2760,-1956,14272,-38,199,-299
0,298,289,278,-2800,-1888,14308,4,147,-284
0,299,288,278,-2800,-1920,14204,14,183,-261
0,299,289,278,-2808,-1904,14428,-30,194,-284
0,299,289,278,-2752,-1984,14248,9,142,-266
0,298,289,278,-2816,-1928,14448,42,195,-278
0,298,288,278,-2824,-1884,14328,-60,60,-304
0,299,288,278,-2668,-1768,14404,32,139,-295
0,299,289,278,-2852,-1816,14316,-33,151,-295
0,298,289,278,-2752,-1864,14320,-47,160,-282
0,298,288,278,-2776,-1940,14392,3,109,-294
0,298,289,277,-2752,-1984,14256,39,145,-284
0,298,289,277,-2792,-1912,14372,12,119,-296
0,299,288,277,-2820,-1932,14316,31,163,-269
0,298,289,277,-2836,-1896,14472,8,118,-302
0,299,288,277,-2836,-1984,14368,5,133,-277
0,298,289,278,-2800,-1940,14188,7,142,-290
0,298,289,278,-2820,-2020,14420,-10,120,-284
0,298,289,277,-2792,-1892,14284,7,30,-285
0,299,289,278,-2864,-1948,14348,38,126,-277
0,298,289,277,-2792,-1760,14272,36,218,-282
0,297,289,278,-2788,-1992,14520,-27,121,-296
0,299,289,277,-2796,-2036,14384,29,153,-261
0,299,289,278,-2780,-1892,14340,39,146,-300
0,299,288,278,-2824,-1836,14340,-3,117,-304
0,298,289,277,-2828,-1888,14344,12,173,-292
